DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FILES,#SCRUBBED,MIC0 TYPE 
2024-May-16,20:55:59,51.74430,n,9.31424,w,6.4,12.75,0,0,U2
2024-May-16,20:56:59,51.74430,n,9.31424,w,6.5,12.75,0,1,U2
2024-May-16,20:57:59,51.74430,n,9.31424,w,6.5,13.00,0,0,U2
2024-May-16,20:58:59,51.74430,n,9.31424,w,6.5,13.00,0,0,U2
2024-May-16,20:59:59,51.74430,n,9.31424,w,6.5,13.00,0,0,U2
2024-May-16,21:00:59,51.74430,n,9.31424,w,6.5,13.25,0,1,U2
2024-May-16,21:01:59,51.74430,n,9.31424,w,6.5,13.25,0,2,U2
2024-May-16,21:02:59,51.74430,n,9.31424,w,6.5,13.25,0,0,U2
2024-May-16,21:03:59,51.74430,n,9.31424,w,6.5,13.50,0,4,U2
2024-May-16,21:04:59,51.74430,n,9.31424,w,6.4,13.25,0,5,U2
2024-May-16,21:05:59,51.74430,n,9.31424,w,6.4,13.25,0,8,U2
2024-May-16,21:06:59,51.74430,n,9.31424,w,6.5,13.25,0,11,U2 
2024-May-16,21:07:59,51.74430,n,9.31424,w,6.4,13.25,0,10,U2 
2024-May-16,21:08:59,51.74430,n,9.31424,w,6.5,13.25,0,8,U2
2024-May-16,21:09:59,51.74430,n,9.31424,w,6.5,13.50,0,3,U2
2024-May-16,21:10:59,51.74430,n,9.31424,w,6.5,13.50,0,2,U2
2024-May-16,21:11:59,51.74430,n,9.31424,w,6.5,13.50,0,3,U2
2024-May-16,21:12:59,51.74430,n,9.31424,w,6.5,13.25,0,4,U2
2024-May-16,21:13:59,51.74430,n,9.31424,w,6.5,13.25,0,4,U2
2024-May-16,21:14:59,51.74430,n,9.31424,w,6.5,13.50,0,3,U2
2024-May-16,21:15:59,51.74430,n,9.31424,w,6.5,13.25,0,4,U2
2024-May-16,21:16:59,51.74430,n,9.31424,w,6.5,13.25,0,6,U2
2024-May-16,21:17:59,51.74430,n,9.31424,w,6.5,13.25,0,10,U2 
2024-May-16,21:18:59,51.74430,n,9.31424,w,6.5,13.25,0,8,U2
2024-May-16,21:19:59,51.74430,n,9.31424,w,6.5,13.25,0,6,U2
2024-May-16,21:20:59,51.74430,n,9.31424,w,6.4,13.25,0,6,U2
2024-May-16,21:21:59,51.74430,n,9.31424,w,6.5,13.25,0,7,U2
2024-May-16,21:22:59,51.74430,n,9.31424,w,6.5,13.25,0,6,U2
2024-May-16,21:23:59,51.74430,n,9.31424,w,6.5,13.25,0,2,U2
2024-May-16,21:24:59,51.74430,n,9.31424,w,6.5,13.25,0,3,U2
2024-May-16,21:25:59,51.74430,n,9.31424,w,6.5,13.00,0,3,U2
2024-May-16,21:26:59,51.74430,n,9.31424,w,6.5,13.25,0,5,U2
2024-May-16,21:27:59,51.74430,n,9.31424,w,6.5,13.25,0,1,U2
2024-May-16,21:28:59,51.74430,n,9.31424,w,6.5,13.00,0,2,U2
2024-May-16,21:29:59,51.74430,n,9.31424,w,6.5,13.00,0,1,U2
2024-May-16,21:30:59,51.74430,n,9.31424,w,6.5,13.00,0,1,U2
2024-May-16,21:31:59,51.74430,n,9.31424,w,6.5,12.75,0,1,U2
2024-May-16,21:32:59,51.74430,n,9.31424,w,6.5,13.00,0,2,U2
2024-May-16,21:33:59,51.74430,n,9.31424,w,6.5,12.75,0,3,U2
2024-May-16,21:34:59,51.74430,n,9.31424,w,6.4,12.75,0,3,U2
2024-May-16,21:35:59,51.74430,n,9.31424,w,6.5,12.75,0,3,U2
2024-May-16,21:36:59,51.74430,n,9.31424,w,6.4,12.75,0,5,U2
2024-May-16,21:37:59,51.74430,n,9.31424,w,6.5,12.75,0,3,U2
2024-May-16,21:38:59,51.74430,n,9.31424,w,6.5,12.75,0,3,U2
2024-May-16,21:39:59,51.74430,n,9.31424,w,6.5,12.50,0,2,U2
