DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FILES,#SCRUBBED,MIC0 TYPE 
2024-May-16,03:45:02,53.31884,n,8.57907,w,5.5,7.00,5,0,U2 
2024-May-16,03:46:02,53.31884,n,8.57907,w,5.5,7.50,5,0,U2 
2024-May-16,03:47:02,53.31884,n,8.57907,w,5.5,7.50,4,0,U2 
2024-May-16,03:48:02,53.31884,n,8.57907,w,5.5,7.50,6,1,U2 
2024-May-16,03:49:02,53.31884,n,8.57907,w,5.5,7.75,5,0,U2 
2024-May-16,03:50:02,53.31884,n,8.57907,w,5.6,7.75,5,2,U2 
2024-May-16,03:51:02,53.31884,n,8.57907,w,5.5,7.75,5,0,U2 
2024-May-16,03:52:02,53.31884,n,8.57907,w,5.5,7.75,5,0,U2 
2024-May-16,03:53:02,53.31884,n,8.57907,w,5.6,8.00,4,0,U2 
2024-May-16,03:54:02,53.31884,n,8.57907,w,5.5,8.00,4,0,U2 
2024-May-16,03:55:02,53.31884,n,8.57907,w,5.6,8.00,4,0,U2 
2024-May-16,03:56:02,53.31884,n,8.57907,w,5.5,8.00,5,0,U2 
2024-May-16,03:57:02,53.31884,n,8.57907,w,5.6,8.00,5,0,U2 
2024-May-16,03:58:02,53.31884,n,8.57907,w,5.5,8.00,4,1,U2 
2024-May-16,03:59:02,53.31884,n,8.57907,w,5.5,8.00,4,0,U2 
2024-May-16,04:00:02,53.31884,n,8.57907,w,5.5,8.00,4,1,U2 
2024-May-16,04:01:02,53.31884,n,8.57907,w,5.5,8.00,4,0,U2 
2024-May-16,04:02:02,53.31884,n,8.57907,w,5.5,8.25,5,0,U2 
2024-May-16,04:03:02,53.31884,n,8.57907,w,5.5,8.25,4,0,U2 
2024-May-16,04:04:02,53.31884,n,8.57907,w,5.6,8.25,5,0,U2 
2024-May-16,04:05:02,53.31884,n,8.57907,w,5.6,8.25,5,0,U2 
2024-May-16,04:06:02,53.31884,n,8.57907,w,5.5,8.25,5,0,U2 
2024-May-16,04:07:02,53.31884,n,8.57907,w,5.6,8.25,4,1,U2 
2024-May-16,04:08:02,53.31884,n,8.57907,w,5.5,8.25,3,0,U2 
2024-May-16,04:09:02,53.31884,n,8.57907,w,5.5,8.25,3,2,U2 
2024-May-16,04:10:02,53.31884,n,8.57907,w,5.5,8.25,5,0,U2 
2024-May-16,04:11:02,53.31884,n,8.57907,w,5.6,8.25,4,1,U2 
2024-May-16,04:12:02,53.31884,n,8.57907,w,5.6,8.25,4,0,U2 
2024-May-16,04:13:02,53.31884,n,8.57907,w,5.5,8.25,4,0,U2 
2024-May-16,04:14:02,53.31884,n,8.57907,w,5.5,8.25,3,2,U2 
2024-May-16,04:15:02,53.31884,n,8.57907,w,5.6,8.00,4,1,U2 
2024-May-16,04:16:02,53.31884,n,8.57907,w,5.5,8.25,4,0,U2 
2024-May-16,04:17:02,53.31884,n,8.57907,w,5.5,8.25,3,0,U2 
2024-May-16,04:18:02,53.31884,n,8.57907,w,5.6,8.25,3,0,U2 
2024-May-16,04:19:02,53.31884,n,8.57907,w,5.5,8.25,3,0,U2 
2024-May-16,04:20:02,53.31884,n,8.57907,w,5.5,8.50,3,1,U2 
2024-May-16,04:21:02,53.31884,n,8.57907,w,5.5,8.50,2,0,U2 
2024-May-16,04:22:02,53.31884,n,8.57907,w,5.6,8.25,1,1,U2 
2024-May-16,04:23:02,53.31884,n,8.57907,w,5.5,8.00,1,1,U2 
2024-May-16,04:24:02,53.31884,n,8.57907,w,5.5,8.25,4,0,U2 
2024-May-16,04:25:02,53.31884,n,8.57907,w,5.6,8.25,4,0,U2 
2024-May-16,04:26:02,53.31884,n,8.57907,w,5.5,8.25,1,0,U2 
2024-May-16,04:27:02,53.31884,n,8.57907,w,5.6,8.25,3,2,U2 
2024-May-16,04:28:02,53.31884,n,8.57907,w,5.6,8.00,1,1,U2 
2024-May-16,04:29:02,53.31884,n,8.57907,w,5.6,8.00,0,0,U2 
2024-May-16,04:30:02,53.31884,n,8.57907,w,5.5,8.00,2,2,U2 
2024-May-16,04:31:02,53.31884,n,8.57907,w,5.6,8.25,3,2,U2 
2024-May-16,04:32:02,53.31884,n,8.57907,w,5.6,8.25,3,1,U2 
2024-May-16,04:33:02,53.31884,n,8.57907,w,5.6,8.25,3,2,U2 
2024-May-16,04:34:02,53.31884,n,8.57907,w,5.5,8.00,2,0,U2 
2024-May-16,04:35:02,53.31884,n,8.57907,w,5.6,8.25,3,1,U2 
2024-May-16,04:36:02,53.31884,n,8.57907,w,5.6,8.25,3,0,U2 
2024-May-16,04:37:02,53.31884,n,8.57907,w,5.6,8.25,1,1,U2 
2024-May-16,04:38:02,53.31884,n,8.57907,w,5.6,8.25,3,0,U2 
2024-May-16,04:39:02,53.31884,n,8.57907,w,5.6,8.25,3,0,U2 
2024-May-16,04:40:02,53.31884,n,8.57907,w,5.6,8.25,2,1,U2 
