DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FILES,#SCRUBBED,MIC0 TYPE 
2024-Sep-24,18:57:59,53.31566,n,8.57992,w,6.4,13.25,0,0,U2
2024-Sep-24,18:58:59,53.31566,n,8.57992,w,6.3,13.25,0,1,U2
2024-Sep-24,18:59:59,53.31566,n,8.57992,w,6.3,13.00,0,5,U2
2024-Sep-24,19:00:59,53.31566,n,8.57992,w,6.3,13.25,0,6,U2
2024-Sep-24,19:01:59,53.31566,n,8.57992,w,6.4,13.00,1,5,U2
2024-Sep-24,19:02:59,53.31566,n,8.57992,w,6.4,13.25,0,7,U2
2024-Sep-24,19:03:59,53.31566,n,8.57992,w,6.3,13.00,1,6,U2
2024-Sep-24,19:04:59,53.31566,n,8.57992,w,6.4,13.00,1,7,U2
2024-Sep-24,19:05:59,53.31566,n,8.57992,w,6.4,13.00,0,5,U2
2024-Sep-24,19:06:59,53.31566,n,8.57992,w,6.4,13.00,0,2,U2
2024-Sep-24,19:07:59,53.31566,n,8.57992,w,6.4,13.00,0,1,U2
2024-Sep-24,19:08:59,53.31566,n,8.57992,w,6.4,13.25,0,1,U2
2024-Sep-24,19:09:59,53.31566,n,8.57992,w,6.4,13.00,0,0,U2
2024-Sep-24,19:10:59,53.31566,n,8.57992,w,6.4,13.00,0,0,U2
2024-Sep-24,19:11:59,53.31566,n,8.57992,w,6.4,13.00,0,0,U2
2024-Sep-24,19:12:59,53.31566,n,8.57992,w,6.4,13.00,0,0,U2
2024-Sep-24,19:13:59,53.31566,n,8.57992,w,6.4,12.75,0,0,U2
2024-Sep-24,19:14:59,53.31566,n,8.57992,w,6.4,13.00,0,0,U2
2024-Sep-24,19:15:59,53.31566,n,8.57992,w,6.4,12.75,0,0,U2
2024-Sep-24,19:16:59,53.31566,n,8.57992,w,6.4,12.75,0,0,U2
2024-Sep-24,19:17:59,53.31566,n,8.57992,w,6.4,12.75,0,0,U2
2024-Sep-24,19:18:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:19:59,53.31566,n,8.57992,w,6.4,12.75,0,0,U2
2024-Sep-24,19:20:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:21:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:22:59,53.31566,n,8.57992,w,6.4,12.50,0,1,U2
2024-Sep-24,19:23:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:24:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:25:59,53.31566,n,8.57992,w,6.4,12.50,0,0,U2
2024-Sep-24,19:26:59,53.31566,n,8.57992,w,6.4,12.25,0,0,U2
2024-Sep-24,19:27:59,53.31566,n,8.57992,w,6.4,12.25,0,0,U2
2024-Sep-24,19:28:59,53.31566,n,8.57992,w,6.4,12.25,0,0,U2
2024-Sep-24,19:29:59,53.31566,n,8.57992,w,6.4,12.25,0,0,U2
2024-Sep-24,19:30:59,53.31566,n,8.57992,w,6.4,12.25,0,0,U2
2024-Sep-24,19:31:59,53.31566,n,8.57992,w,6.4,12.25,0,2,U2
2024-Sep-24,19:32:59,53.31566,n,8.57992,w,6.4,12.25,0,2,U2
2024-Sep-24,19:33:59,53.31566,n,8.57992,w,6.4,12.00,0,3,U2
2024-Sep-24,19:34:59,53.31566,n,8.57992,w,6.4,12.00,0,6,U2
2024-Sep-24,19:35:59,53.31566,n,8.57992,w,6.4,12.00,0,3,U2
2024-Sep-24,19:36:59,53.31566,n,8.57992,w,6.3,12.00,0,1,U2
2024-Sep-24,19:37:59,53.31566,n,8.57992,w,6.4,12.00,0,5,U2
2024-Sep-24,19:38:59,53.31566,n,8.57992,w,6.3,12.00,1,5,U2
2024-Sep-24,19:39:59,53.31566,n,8.57992,w,6.4,12.00,0,5,U2
2024-Sep-24,19:40:59,53.31566,n,8.57992,w,6.3,12.00,1,2,U2
2024-Sep-24,19:41:59,53.31566,n,8.57992,w,6.4,12.00,1,2,U2
2024-Sep-24,19:42:59,53.31566,n,8.57992,w,6.4,11.75,0,3,U2
2024-Sep-24,19:43:59,53.31566,n,8.57992,w,6.4,11.75,0,6,U2
2024-Sep-24,19:44:59,53.31566,n,8.57992,w,6.4,11.75,0,9,U2
2024-Sep-24,19:45:59,53.31566,n,8.57992,w,6.3,11.75,1,8,U2
2024-Sep-24,19:46:59,53.31566,n,8.57992,w,6.4,12.00,0,3,U2
2024-Sep-24,19:47:59,53.31566,n,8.57992,w,6.4,11.75,0,2,U2
2024-Sep-24,19:48:59,53.31566,n,8.57992,w,6.4,11.75,0,6,U2
2024-Sep-24,19:49:59,53.31566,n,8.57992,w,6.4,11.75,0,7,U2
2024-Sep-24,19:50:59,53.31566,n,8.57992,w,6.3,11.75,0,5,U2
2024-Sep-24,19:51:59,53.31566,n,8.57992,w,6.4,11.75,0,3,U2
2024-Sep-24,19:52:59,53.31566,n,8.57992,w,6.3,11.75,4,0,U2
2024-Sep-24,19:53:59,53.31566,n,8.57992,w,6.4,11.75,0,1,U2
2024-Sep-24,19:54:59,53.31566,n,8.57992,w,6.4,11.75,0,1,U2
2024-Sep-24,19:55:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,19:56:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,19:57:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,19:58:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,19:59:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,20:00:59,53.31566,n,8.57992,w,6.4,11.75,0,0,U2
2024-Sep-24,20:01:59,53.31566,n,8.57992,w,6.4,11.75,0,0,U2
2024-Sep-24,20:02:59,53.31566,n,8.57992,w,6.4,11.50,0,1,U2
2024-Sep-24,20:03:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,20:04:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,20:05:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,20:06:59,53.31566,n,8.57992,w,6.4,11.50,0,0,U2
2024-Sep-24,20:07:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:08:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:09:59,53.31566,n,8.57992,w,6.3,11.50,0,2,U2
2024-Sep-24,20:10:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:11:59,53.31566,n,8.57992,w,6.3,11.25,0,0,U2
2024-Sep-24,20:12:59,53.31566,n,8.57992,w,6.3,11.25,0,0,U2
2024-Sep-24,20:13:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:14:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:15:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:16:59,53.31566,n,8.57992,w,6.3,11.25,0,0,U2
2024-Sep-24,20:17:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:18:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:19:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:20:59,53.31566,n,8.57992,w,6.3,11.50,0,1,U2
2024-Sep-24,20:21:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:22:59,53.31566,n,8.57992,w,6.3,11.25,0,0,U2
2024-Sep-24,20:23:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:24:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:25:59,53.31566,n,8.57992,w,6.3,11.25,0,0,U2
2024-Sep-24,20:26:59,53.31566,n,8.57992,w,6.3,11.50,0,0,U2
2024-Sep-24,20:27:59,53.31566,n,8.57992,w,6.3,11.25,0,2,U2
2024-Sep-24,20:28:59,53.31566,n,8.57992,w,6.3,11.25,0,5,U2
2024-Sep-24,20:29:59,53.31566,n,8.57992,w,6.3,11.25,0,8,U2
2024-Sep-24,20:30:59,53.31566,n,8.57992,w,6.3,11.25,0,10,U2 
2024-Sep-24,20:31:59,53.31566,n,8.57992,w,6.3,11.25,1,8,U2
2024-Sep-24,20:32:59,53.31566,n,8.57992,w,6.3,11.25,0,7,U2
2024-Sep-24,20:33:59,53.31566,n,8.57992,w,6.3,11.50,0,7,U2
