DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FILES,#SCRUBBED,MIC0 TYPE 
2024-Sep-02,19:51:59,51.75235,n,9.28930,w,6.5,16.25,0,0,U2
2024-Sep-02,19:52:59,51.75235,n,9.28930,w,6.5,16.25,0,0,U2
2024-Sep-02,19:53:59,51.75235,n,9.28930,w,6.5,16.00,0,0,U2
2024-Sep-02,19:54:59,51.75235,n,9.28930,w,6.5,16.25,0,0,U2
2024-Sep-02,19:55:59,51.75235,n,9.28930,w,6.5,16.00,0,0,U2
2024-Sep-02,19:56:59,51.75235,n,9.28930,w,6.5,15.75,0,0,U2
2024-Sep-02,19:57:59,51.75235,n,9.28930,w,6.6,16.00,0,2,U2
2024-Sep-02,19:58:59,51.75235,n,9.28930,w,6.5,15.75,0,0,U2
2024-Sep-02,19:59:59,51.75235,n,9.28930,w,6.5,15.75,0,1,U2
2024-Sep-02,20:00:59,51.75235,n,9.28930,w,6.5,15.75,0,1,U2
2024-Sep-02,20:01:59,51.75235,n,9.28930,w,6.6,15.75,0,1,U2
2024-Sep-02,20:02:59,51.75235,n,9.28930,w,6.6,15.75,0,4,U2
2024-Sep-02,20:03:59,51.75235,n,9.28930,w,6.5,15.50,1,2,U2
2024-Sep-02,20:04:59,51.75235,n,9.28930,w,6.5,15.50,0,8,U2
2024-Sep-02,20:05:59,51.75235,n,9.28930,w,6.5,15.50,3,7,U2
2024-Sep-02,20:06:59,51.75235,n,9.28930,w,6.5,15.50,2,7,U2
2024-Sep-02,20:07:59,51.75235,n,9.28930,w,6.6,15.25,0,5,U2
2024-Sep-02,20:08:59,51.75235,n,9.28930,w,6.5,15.25,0,3,U2
2024-Sep-02,20:09:59,51.75235,n,9.28930,w,6.5,15.00,0,2,U2
2024-Sep-02,20:10:59,51.75235,n,9.28930,w,6.5,15.25,2,2,U2
2024-Sep-02,20:11:59,51.75235,n,9.28930,w,6.5,15.00,0,9,U2
2024-Sep-02,20:12:59,51.75235,n,9.28930,w,6.5,15.00,2,6,U2
2024-Sep-02,20:13:59,51.75235,n,9.28930,w,6.4,15.00,1,8,U2
2024-Sep-02,20:14:59,51.75235,n,9.28930,w,6.5,14.75,0,8,U2
2024-Sep-02,20:15:59,51.75235,n,9.28930,w,6.5,14.75,0,10,U2 
2024-Sep-02,20:16:59,51.75235,n,9.28930,w,6.5,14.50,0,9,U2
2024-Sep-02,20:17:59,51.75235,n,9.28930,w,6.5,14.75,1,7,U2
2024-Sep-02,20:18:59,51.75235,n,9.28930,w,6.5,14.75,0,1,U2
2024-Sep-02,20:19:59,51.75235,n,9.28930,w,6.5,14.50,0,0,U2
2024-Sep-02,20:20:59,51.75235,n,9.28930,w,6.5,14.25,0,0,U2
2024-Sep-02,20:21:59,51.75235,n,9.28930,w,6.5,14.50,0,0,U2
2024-Sep-02,20:22:59,51.75235,n,9.28930,w,6.5,14.25,0,1,U2
2024-Sep-02,20:23:59,51.75235,n,9.28930,w,6.5,14.25,0,0,U2
2024-Sep-02,20:24:59,51.75235,n,9.28930,w,6.5,14.00,0,0,U2
2024-Sep-02,20:25:59,51.75235,n,9.28930,w,6.5,14.00,0,0,U2
2024-Sep-02,20:26:59,51.75235,n,9.28930,w,6.5,14.00,0,0,U2
2024-Sep-02,20:27:59,51.75235,n,9.28930,w,6.5,14.00,0,0,U2
2024-Sep-02,20:28:59,51.75235,n,9.28930,w,6.5,13.75,0,0,U2
2024-Sep-02,20:29:59,51.75235,n,9.28930,w,6.5,13.75,0,0,U2
2024-Sep-02,20:30:59,51.75235,n,9.28930,w,6.5,13.75,0,0,U2
2024-Sep-02,20:31:59,51.75235,n,9.28930,w,6.5,13.75,0,0,U2
2024-Sep-02,20:32:59,51.75235,n,9.28930,w,6.5,13.50,0,0,U2
2024-Sep-02,20:33:59,51.75235,n,9.28930,w,6.5,13.50,0,0,U2
2024-Sep-02,20:34:59,51.75235,n,9.28930,w,6.5,13.50,0,0,U2
2024-Sep-02,20:35:59,51.75235,n,9.28930,w,6.5,13.50,0,0,U2
2024-Sep-02,20:36:59,51.75235,n,9.28930,w,6.5,13.25,0,1,U2
2024-Sep-02,20:37:59,51.75235,n,9.28930,w,6.5,13.25,0,1,U2
2024-Sep-02,20:38:59,51.75235,n,9.28930,w,6.5,13.25,0,1,U2
2024-Sep-02,20:39:59,51.75235,n,9.28930,w,6.4,13.25,0,9,U2
2024-Sep-02,20:40:59,51.75235,n,9.28930,w,6.5,13.25,1,7,U2
2024-Sep-02,20:41:59,51.75235,n,9.28930,w,6.5,13.00,1,6,U2
2024-Sep-02,20:42:59,51.75235,n,9.28930,w,6.4,13.00,1,5,U2
2024-Sep-02,20:43:59,51.75235,n,9.28930,w,6.5,13.00,3,5,U2
2024-Sep-02,20:44:59,51.75235,n,9.28930,w,6.4,13.00,0,1,U2
2024-Sep-02,20:45:59,51.75235,n,9.28930,w,6.5,13.25,0,6,U2
2024-Sep-02,20:46:59,51.75235,n,9.28930,w,6.5,12.75,0,1,U2
2024-Sep-02,20:47:59,51.75235,n,9.28930,w,6.5,12.75,1,1,U2
2024-Sep-02,20:48:59,51.75235,n,9.28930,w,6.5,12.75,0,0,U2
2024-Sep-02,20:49:59,51.75235,n,9.28930,w,6.5,12.75,0,0,U2
2024-Sep-02,20:50:59,51.75235,n,9.28930,w,6.5,12.75,1,0,U2
2024-Sep-02,20:51:59,51.75235,n,9.28930,w,6.5,12.50,0,0,U2
2024-Sep-02,20:52:59,51.75235,n,9.28930,w,6.5,12.50,0,0,U2
2024-Sep-02,20:53:59,51.75235,n,9.28930,w,6.5,12.50,0,0,U2
2024-Sep-02,20:54:59,51.75235,n,9.28930,w,6.5,12.50,0,2,U2
2024-Sep-02,20:55:59,51.75235,n,9.28930,w,6.5,12.25,0,0,U2
2024-Sep-02,20:56:59,51.75235,n,9.28930,w,6.5,12.25,0,0,U2
2024-Sep-02,20:57:59,51.75235,n,9.28930,w,6.5,12.25,1,0,U2
2024-Sep-02,20:58:59,51.75235,n,9.28930,w,6.5,12.25,0,0,U2
2024-Sep-02,20:59:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:00:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:01:59,51.75235,n,9.28930,w,6.5,12.25,0,1,U2
2024-Sep-02,21:02:59,51.75235,n,9.28930,w,6.5,12.00,0,1,U2
2024-Sep-02,21:03:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:04:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:05:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:06:59,51.75235,n,9.28930,w,6.5,11.75,0,0,U2
2024-Sep-02,21:07:59,51.75235,n,9.28930,w,6.5,12.00,0,0,U2
2024-Sep-02,21:08:59,51.75235,n,9.28930,w,6.5,11.75,0,0,U2
2024-Sep-02,21:09:59,51.75235,n,9.28930,w,6.5,11.75,1,0,U2
2024-Sep-02,21:10:59,51.75235,n,9.28930,w,6.5,11.75,0,0,U2
2024-Sep-02,21:11:59,51.75235,n,9.28930,w,6.5,11.75,0,1,U2
2024-Sep-02,21:12:59,51.75235,n,9.28930,w,6.5,11.75,0,0,U2
2024-Sep-02,21:13:59,51.75235,n,9.28930,w,6.5,11.75,0,1,U2
2024-Sep-02,21:14:59,51.75235,n,9.28930,w,6.5,11.75,0,1,U2
2024-Sep-02,21:15:59,51.75235,n,9.28930,w,6.5,11.50,0,0,U2
2024-Sep-02,21:16:59,51.75235,n,9.28930,w,6.5,11.50,0,1,U2
2024-Sep-02,21:17:59,51.75235,n,9.28930,w,6.4,11.50,0,0,U2
2024-Sep-02,21:18:59,51.75235,n,9.28930,w,6.5,11.50,1,3,U2
2024-Sep-02,21:19:59,51.75235,n,9.28930,w,6.5,11.50,0,0,U2
2024-Sep-02,21:20:59,51.75235,n,9.28930,w,6.5,11.50,0,0,U2
2024-Sep-02,21:21:59,51.75235,n,9.28930,w,6.5,11.50,1,0,U2
2024-Sep-02,21:22:59,51.75235,n,9.28930,w,6.5,11.50,0,0,U2
2024-Sep-02,21:23:59,51.75235,n,9.28930,w,6.5,11.25,0,0,U2
2024-Sep-02,21:24:59,51.75235,n,9.28930,w,6.5,11.25,0,0,U2
2024-Sep-02,21:25:59,51.75235,n,9.28930,w,6.5,11.25,0,1,U2
2024-Sep-02,21:26:59,51.75235,n,9.28930,w,6.5,11.25,1,0,U2
2024-Sep-02,21:27:59,51.75235,n,9.28930,w,6.5,11.25,0,0,U2
2024-Sep-02,21:28:59,51.75235,n,9.28930,w,6.5,11.25,0,0,U2
2024-Sep-02,21:29:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:30:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:31:59,51.75235,n,9.28930,w,6.5,11.00,1,0,U2
2024-Sep-02,21:32:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:33:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:34:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:35:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:36:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:37:59,51.75235,n,9.28930,w,6.5,11.00,0,0,U2
2024-Sep-02,21:38:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:39:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:40:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:41:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:42:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:43:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:44:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:45:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:46:59,51.75235,n,9.28930,w,6.5,10.50,0,1,U2
2024-Sep-02,21:47:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:48:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:49:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:50:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:51:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:52:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:53:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:54:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:55:59,51.75235,n,9.28930,w,6.5,10.75,0,0,U2
2024-Sep-02,21:56:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:57:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:58:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,21:59:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:00:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:01:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:02:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:03:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:04:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:05:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:06:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:07:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:08:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:09:59,51.75235,n,9.28930,w,6.5,10.50,2,0,U2
2024-Sep-02,22:10:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:11:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:12:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:13:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:14:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:15:59,51.75235,n,9.28930,w,6.5,10.50,0,0,U2
2024-Sep-02,22:16:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:17:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:18:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:19:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:20:59,51.75235,n,9.28930,w,6.5,10.25,0,0,U2
2024-Sep-02,22:21:59,51.75235,n,9.28930,w,6.5,10.25,1,0,U2
2024-Sep-02,22:22:59,51.75235,n,9.28930,w,6.4,10.25,0,1,U2
2024-Sep-02,22:23:59,51.75235,n,9.28930,w,6.5,10.25,1,1,U2
2024-Sep-02,22:24:59,51.75235,n,9.28930,w,6.5,10.00,0,0,U2
2024-Sep-02,22:25:59,51.75235,n,9.28930,w,6.4,10.00,0,1,U2
2024-Sep-02,22:26:59,51.75235,n,9.28930,w,6.5,10.00,3,1,U2
2024-Sep-02,22:27:59,51.75235,n,9.28930,w,6.5,10.00,1,0,U2
2024-Sep-02,22:28:59,51.75235,n,9.28930,w,6.5,10.00,0,2,U2
2024-Sep-02,22:29:59,51.75235,n,9.28930,w,6.5,10.00,0,1,U2
2024-Sep-02,22:30:59,51.75235,n,9.28930,w,6.5,10.00,0,0,U2
2024-Sep-02,22:31:59,51.75235,n,9.28930,w,6.5,10.00,0,1,U2
2024-Sep-02,22:32:59,51.75235,n,9.28930,w,6.5,10.00,0,2,U2
2024-Sep-02,22:33:59,51.75235,n,9.28930,w,6.4,10.25,1,0,U2
2024-Sep-02,22:34:59,51.75235,n,9.28930,w,6.4,10.25,0,1,U2
2024-Sep-02,22:35:59,51.75235,n,9.28930,w,6.5,10.25,3,1,U2
2024-Sep-02,22:36:59,51.75235,n,9.28930,w,6.4,10.25,1,1,U2
2024-Sep-02,22:37:59,51.75235,n,9.28930,w,6.4,10.00,0,0,U2
