DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FILES,#SCRUBBED,MIC0 TYPE 
2024-Sep-12,19:25:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:26:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:27:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:28:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:29:59,54.73788,n,7.92225,w,6.5,9.75,0,0,U2 
2024-Sep-12,19:30:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:31:59,54.73788,n,7.92225,w,6.5,9.50,0,2,U2 
2024-Sep-12,19:32:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:33:59,54.73788,n,7.92225,w,6.5,9.75,0,0,U2 
2024-Sep-12,19:34:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:35:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:36:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:37:59,54.73788,n,7.92225,w,6.5,9.75,0,0,U2 
2024-Sep-12,19:38:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:39:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:40:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:41:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:42:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:43:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:44:59,54.73788,n,7.92225,w,6.5,9.50,0,0,U2 
2024-Sep-12,19:45:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:46:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:47:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:48:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:49:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:50:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:51:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:52:59,54.73788,n,7.92225,w,6.5,9.25,0,0,U2 
2024-Sep-12,19:53:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:54:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:55:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:56:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:57:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:58:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,19:59:59,54.73788,n,7.92225,w,6.5,9.00,0,0,U2 
2024-Sep-12,20:00:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:01:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:02:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:03:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:04:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:05:59,54.73788,n,7.92225,w,6.5,8.75,0,0,U2 
2024-Sep-12,20:06:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:07:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:08:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:09:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:10:59,54.73788,n,7.92225,w,6.5,8.50,0,1,U2 
2024-Sep-12,20:11:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:12:59,54.73788,n,7.92225,w,6.5,8.50,0,0,U2 
2024-Sep-12,20:13:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:14:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:15:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:16:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:17:59,54.73788,n,7.92225,w,6.4,8.25,0,0,U2 
2024-Sep-12,20:18:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:19:59,54.73788,n,7.92225,w,6.4,8.25,0,0,U2 
2024-Sep-12,20:20:59,54.73788,n,7.92225,w,6.5,8.25,0,0,U2 
2024-Sep-12,20:21:59,54.73788,n,7.92225,w,6.4,9.00,0,0,U2 
2024-Sep-12,20:22:59,54.73788,n,7.92225,w,6.4,8.00,0,0,U2 
2024-Sep-12,20:23:59,54.73788,n,7.92225,w,6.4,7.75,0,0,U2 
2024-Sep-12,20:24:59,54.73788,n,7.92225,w,6.4,8.25,0,1,U2 
2024-Sep-12,20:25:59,54.73788,n,7.92225,w,6.5,8.00,0,0,U2 
2024-Sep-12,20:26:59,54.73788,n,7.92225,w,6.4,7.75,0,0,U2 
2024-Sep-12,20:27:59,54.73788,n,7.92225,w,6.5,7.75,0,0,U2 
2024-Sep-12,20:28:59,54.73788,n,7.92225,w,6.4,8.00,0,0,U2 
2024-Sep-12,20:29:59,54.73788,n,7.92225,w,6.4,7.75,0,1,U2 
2024-Sep-12,20:30:59,54.73788,n,7.92225,w,6.4,7.75,0,1,U2 
2024-Sep-12,20:31:59,54.73788,n,7.92225,w,6.4,7.75,0,0,U2 
2024-Sep-12,20:32:59,54.73788,n,7.92225,w,6.4,7.75,0,0,U2 
2024-Sep-12,20:33:59,54.73788,n,7.92225,w,6.4,7.75,0,1,U2 
2024-Sep-12,20:34:59,54.73788,n,7.92225,w,6.4,7.50,0,1,U2 
2024-Sep-12,20:35:59,54.73788,n,7.92225,w,6.4,7.75,0,0,U2 
2024-Sep-12,20:36:59,54.73788,n,7.92225,w,6.4,7.75,0,1,U2 
2024-Sep-12,20:37:59,54.73788,n,7.92225,w,6.4,7.50,0,0,U2 
2024-Sep-12,20:38:59,54.73788,n,7.92225,w,6.4,7.50,0,0,U2 
2024-Sep-12,20:39:59,54.73788,n,7.92225,w,6.4,7.50,0,0,U2 
2024-Sep-12,20:40:59,54.73788,n,7.92225,w,6.4,7.50,0,0,U2 
2024-Sep-12,20:41:59,54.73788,n,7.92225,w,6.4,7.25,0,0,U2 
2024-Sep-12,20:42:59,54.73788,n,7.92225,w,6.4,7.25,0,0,U2 
2024-Sep-12,20:43:59,54.73788,n,7.92225,w,6.4,7.25,0,0,U2 
2024-Sep-12,20:44:59,54.73788,n,7.92225,w,6.4,7.25,0,1,U2 
2024-Sep-12,20:45:59,54.73788,n,7.92225,w,6.4,7.00,0,1,U2 
2024-Sep-12,20:46:59,54.73788,n,7.92225,w,6.4,7.00,0,0,U2 
2024-Sep-12,20:47:59,54.73788,n,7.92225,w,6.4,7.00,0,0,U2 
2024-Sep-12,20:48:59,54.73788,n,7.92225,w,6.4,7.25,0,0,U2 
2024-Sep-12,20:49:59,54.73788,n,7.92225,w,6.4,7.00,0,0,U2 
